last_name,first_name,dept_name
Facello,Georgi,Development
Koblick,Chirstian,Production
Peac,Sumant,Quality Management
Peha,Kazuhide,Production
Peha,Kazuhide,Development
Chappelet,Alain,Production
Zschoche,Sanjiv,Sales
McFarlin,Berhard,Marketing
Schusler,Kwee,Development
Stavenow,Claudi,Quality Management
Garigliano,Reuven,Development
Garigliano,Reuven,Research
Sidou,Hironoby,Development
Ritzmann,Erez,Development
Syrzycki,Jungsoon,Sales
Syrzycki,Jungsoon,Customer Service
Haraldson,Hironobu,Human Resources
Birch,Akemi,Development
Valtorta,Kayoko,Customer Service
Peir,Armond,Development
Casperson,Nishit,Production
Siprelle,Diederik,Production
Siprelle,Diederik,Development
Shimshoni,Perry,Quality Management
Perng,Zhenbing,Development
Majewski,Heekeun,Development
Aloisi,Nigel,Development
Furedi,Pranav,Development
Duclos,Xiaobin,Sales
Trogemann,Leon,Production
Vendrig,Lein,Human Resources
Ishibashi,Basil,Development
Cannane,Yishai,Finance
Benzmuller,Hercules,Production
Birjandi,Kauko,Development
Czap,Masali,Research
Laventhal,Djelloul,Marketing
Kaminger,Pradeep,Research
Cochrane,Satyanarayana,Sales
Standera,Vasilis,Research
Dengi,Nakhoon,Production
Frijda,Anneli,Production
Wrigley,Parto,Customer Service
Rahier,Sibyl,Development
Ebeling,Volkmar,Quality Management
Rosti,Prodip,Development
Luce,Arunas,Development
Improta,Martien,Development
Tiemann,Hisao,Customer Service
Ranta,Bodh,Production
Matzel,Tsvetan,Customer Service
Zaiane,Ung,Sales
Kossowski,Amstein,Quality Management
Servieres,Yakkov,Production
Varker,Xiong,Sales
Gihr,Udi,Human Resources
Cesareni,Marke,Human Resources
Gunderson,Ramalingam,Marketing
Gunderson,Ramalingam,Sales
Thisen,Jianhao,Production
Danlos,Aleksander,Development
Danlos,Aleksander,Research
Krogh,Krisda,Development
Chaudhuri,Inderjeet,Development
Narlikar,Hirochika,Development
Feinberg,Otmar,Development
Rebaine,Parviz,Human Resources
Danley,Valeri,Development
Daescu,Berhard,Customer Service
Szemeredi,Bader,Development
Rullman,Adib,Development
Minakawa,Zita,Development
Erdi,Sachar,Production
Ranze,Poorav,Production
Brendel,King,Production
Doering,Monique,Sales
Candan,Ishfaq,Production
Merey,Selwyn,Marketing
Sgarro,Tadahiko,Development
Naudin,Supot,Sales
Leijenhorst,Chenxi,Development
Kermarrec,Tomoyuki,Production
Leivant,Jianhua,Sales
Leivant,Jianhua,Customer Service
Koprowski,Dipayan,Development
Danley,Theirry,Research
Bratsberg,Fen,Production
Deville,Lakshmi,Sales
Chleq,Muzhong,Development
Champarnaud,Shimshon,Production
Atchley,Georgi,Development
Bahi,Mara,Production
Atchley,Hironoby,Sales
Scallan,Gal,Marketing
Schicker,Mountaz,Human Resources
Skafidas,Berna,Development
Braunschweig,Eckart,Sales
Noriega,Premal,Development
Papsdorf,Muneo,Development
Schiper,Masako,Development
Deyuan,Chinya,Development
Candan,Sumali,Finance
Foote,Shin,Development
Axelband,Alper,Sales
Speckmann,Taegyun,Marketing
Speckmann,Taegyun,Customer Service
Huttel,Leon,Development
Henders,Srinidhi,Research
Cappello,Remzi,Production
Walstra,Ottavia,Marketing
Maliniak,Lansing,Production
Beidas,Jinya,Research
Breugel,Gou,Development
Demke,Jaques,Sales
Katiyar,Elvis,Marketing
Erol,Przemyslawa,Production
Raney,Adib,Quality Management
Boyle,Barry,Finance
Thummel,Hailing,Production
Cochrane,Berna,Research
Iwayama,Aris,Development
Mukaidono,Boaz,Customer Service
